row,col,lat,lon,fire_count,ndvi,r_f,r_p,risk,lambda_drones,lambda_rangers,lambda_sensors,c_drones,c_rangers,c_sensors,coverage,protection,protection_uniform,in_pan
2,26,-19.3874,15.7125,0,1.0,0.507937,0.642767,0.571389,0.589,0.6685,0.454,0.0,0.0,0.0,0.0,0.0,0.193594,False
2,27,-19.3874,15.7601,0,1.0,0.503679,0.627684,0.562273,0.5921,0.6666,0.4528,0.0,0.0,0.0,0.0,0.0,0.196002,False
2,28,-19.3874,15.8078,0,1.0,0.499469,0.600771,0.547783,0.5993,0.6621,0.45,0.0,0.0,0.0,0.0,0.0,0.199667,False
2,29,-19.3874,15.8554,0,1.0,0.495304,0.634175,0.560455,0.5866,0.67,0.4549,0.0,0.0,0.0,0.0,0.0,0.197275,False
2,30,-19.3874,15.903,0,1.0,0.491183,0.648423,0.564353,0.5805,0.6737,0.4572,0.0,0.0,0.0,0.0,0.0,0.196829,False
2,31,-19.3874,15.9507,0,1.0,0.487106,0.642764,0.559548,0.5806,0.6737,0.4572,0.0,0.0,0.0,0.0,0.0,0.198329,False
2,32,-19.3874,15.9983,0,1.0,0.483071,0.610084,0.542876,0.5894,0.6683,0.4539,0.0,0.0,0.0,0.0,0.0,0.202603,False
2,33,-19.3874,16.046,0,1.0,0.479077,0.550509,0.513552,0.6086,0.6561,0.4463,0.0,0.0,0.1,0.044627,0.083231,0.210118,False
2,34,-19.3874,16.0936,0,1.0,0.475122,0.499372,0.487096,0.6268,0.644,0.4387,0.0,0.0,0.1,0.043869,0.086125,0.217308,False
2,35,-19.3874,16.1412,0,1.0,0.471206,0.433144,0.451774,0.6541,0.6246,0.4266,0.0,0.0,0.2,0.085313,0.17208,0.227265,False
2,36,-19.3874,16.1889,0,1.0,0.467327,0.353244,0.406301,0.6933,0.5944,0.4075,0.0,0.0,0.2,0.081502,0.181756,0.240794,False
2,37,-19.3874,16.2365,4.48,1.0,0.502871,0.276185,0.372674,0.7527,0.5417,0.3741,0.0,0.0,0.2,0.074827,0.181911,0.243254,False
2,38,-19.3874,16.2842,4.51,1.0,0.482076,0.216201,0.32284,0.7861,0.5077,0.3525,0.0,0.0,0.3,0.105754,0.27933,0.263201,False
2,39,-19.3874,16.3318,8.64,1.0,0.488098,0.159779,0.279263,0.8299,0.457,0.3201,0.0,0.4,0.0,0.182798,0.480336,0.277169,False
2,40,-19.3874,16.3794,9.48,1.0,0.47084,0.114509,0.232197,0.8622,0.4137,0.2923,0.0,0.4,0.0,0.165489,0.509686,0.302873,False
2,41,-19.3874,16.4271,5.63,1.0,0.421565,0.082389,0.186366,0.881,0.3857,0.2742,0.0,0.4,0.0,0.154265,0.56297,0.346509,False
2,42,-19.3874,16.4747,4.38,1.0,0.392827,0.057571,0.150385,0.9002,0.354,0.2538,0.0,0.4,0.0,0.141599,0.609989,0.389412,False
2,43,-19.3874,16.5224,1.61,1.0,0.353443,0.043688,0.124263,0.9091,0.338,0.2435,0.0,0.4,0.0,0.135211,0.663143,0.438004,False
2,44,-19.3874,16.57,0.75,1.0,0.330888,0.028146,0.096504,0.9239,0.3095,0.225,0.04,0.4,0.0,0.16076,0.810968,0.500463,False
2,45,-19.3874,16.6176,11.35,1.0,0.392397,0.023285,0.095587,0.9335,0.2893,0.2119,0.04,0.4,0.0,0.153044,0.798325,0.486347,False
2,46,-19.3874,16.6653,19.57,1.0,0.425471,0.017636,0.086623,0.94,0.2746,0.2023,0.04,0.4,0.0,0.147432,0.817679,0.507098,False
2,47,-19.3874,16.7129,15.6,1.0,0.389635,0.017185,0.081829,0.9391,0.2768,0.2038,0.04,0.4,0.0,0.148278,0.83668,0.529196,False
2,48,-19.3874,16.7606,20.72,1.0,0.404154,0.016722,0.082209,0.9401,0.2745,0.2023,0.04,0.4,0.0,0.147408,0.833556,0.525413,False
2,49,-19.3874,16.8082,13.11,1.0,0.350379,0.016521,0.076083,0.938,0.2793,0.2054,0.08,0.0,0.1,0.095579,0.71528,0.557641,False
2,50,-19.3874,16.8558,19.28,1.0,0.372503,0.016812,0.079137,0.9387,0.2776,0.2043,0.04,0.4,0.0,0.148604,0.847075,0.541916,False
2,51,-19.3874,16.9035,5.33,1.0,0.287575,0.016942,0.069801,0.9337,0.2889,0.2116,0.08,0.0,0.1,0.095858,0.746729,0.598085,False
2,52,-19.3874,16.9511,0,1.0,0.251182,0.016319,0.064023,0.9314,0.2938,0.2148,0.08,0.0,0.1,0.095994,0.776727,0.634381,False
